Distance_(µm),Gray_Value
0.00000,167
0.49300,170
0.98600,166
1.47900,188
1.97200,206
2.46500,217
2.95800,262
3.45100,276
3.94400,222
4.43700,183
4.93000,176
5.42300,176
5.91600,163
6.40900,191
6.90200,172
