Distance_(µm),Gray_Value
0.00000,164
0.49300,167
0.98600,175
1.47900,175
1.97200,157
2.46500,179
2.95800,235
3.45100,265
3.94400,230
4.43700,194
4.93000,159
5.42300,162
5.91600,164
6.40900,143
6.90200,161
