Distance_(µm),Gray_Value
0.00000,176
0.49300,174
0.98600,182
1.47900,178
1.97200,209
2.46500,224
2.95800,261
3.45100,268
3.94400,229
4.43700,183
4.93000,175
5.42300,178
5.91600,194
6.40900,178
6.90200,200
