Distance_(µm),Gray_Value
0.00000,146
0.49300,167
0.98600,147
1.47900,161
1.97200,168
2.46500,197
2.95800,219
3.45100,241
3.94400,222
4.43700,181
4.93000,163
5.42300,138
5.91600,146
6.40900,155
6.90200,144
