Distance_(µm),Gray_Value
0.00000,161
0.49300,179
0.98600,196
1.47900,189
1.97200,191
2.46500,254
2.95800,274
3.45100,298
3.94400,270
4.43700,205
4.93000,181
5.42300,156
5.91600,162
6.40900,174
6.90200,167
