Distance_(µm),Gray_Value
0.00000,197
0.49300,203
0.98600,184
1.47900,187
1.97200,209
2.46500,251
2.95800,284
3.45100,308
3.94400,298
4.43700,233
4.93000,205
5.42300,179
5.91600,191
6.40900,186
6.90200,189
