Distance_(µm),Gray_Value
0.0000,203
0.4930,185
0.9860,185
1.4790,211
1.9720,226
2.4650,222
2.9580,224
3.4510,229
3.9440,238
4.4370,268
4.9300,282
5.4230,286
5.9160,283
6.4090,276
6.9020,262
7.3950,251
7.8880,238
8.3810,229
8.8740,237
9.3670,222
9.8600,232
10.3530,234
10.8460,221
