Distance_(µm),Gray_Value
0.0000,133
0.4930,146
0.9860,144
1.4790,148
1.9720,156
2.4650,152
2.9580,168
3.4510,170
3.9440,178
4.4370,202
4.9300,239
5.4230,248
5.9160,237
6.4090,213
6.9020,189
7.3950,172
7.8880,163
8.3810,159
8.8740,153
9.3670,143
9.8600,148
10.3530,142
10.8460,142
