Distance_(µm),Gray_Value
0.0000,174
0.4930,189
0.9860,187
1.4790,191
1.9720,200
2.4650,210
2.9580,222
3.4510,229
3.9440,253
4.4370,280
4.9300,279
5.4230,287
5.9160,284
6.4090,277
6.9020,265
7.3950,230
7.8880,232
8.3810,211
8.8740,192
9.3670,193
9.8600,207
10.3530,199
10.8460,184
