Distance_(µm),Gray_Value
0.0000,177
0.4930,175
0.9860,159
1.4790,179
1.9720,202
2.4650,214
2.9580,208
3.4510,193
3.9440,214
4.4370,234
4.9300,252
5.4230,270
5.9160,260
6.4090,235
6.9020,225
7.3950,225
7.8880,218
8.3810,204
8.8740,189
9.3670,180
9.8600,179
10.3530,179
10.8460,173
