Distance_(µm),Gray_Value
0.0000,173
0.4930,173
0.9860,170
1.4790,162
1.9720,168
2.4650,175
2.9580,173
3.4510,174
3.9440,194
4.4370,212
4.9300,231
5.4230,244
5.9160,243
6.4090,221
6.9020,208
7.3950,190
7.8880,179
8.3810,173
8.8740,160
9.3670,166
9.8600,170
10.3530,161
10.8460,139
